20-35 (Young Adult),3 - Often,3 - Often,4 - Always,3 - Often,2 - Sometimes,4 - Always,4 - Always,4 - Always,3 - Often,4 - Always
20-35 (Young Adult),3 - Often,2 - Sometimes,1 - Never,3 - Often,4 - Always,1 - Never,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes
20-35 (Young Adult),3 - Often,2 - Sometimes,4 - Always,1 - Never,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,3 - Often,3 - Often
20-35 (Young Adult),3 - Often,4 - Always,4 - Always,2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes
20-35 (Young Adult),1 - Never,4 - Always,4 - Always,1 - Never,2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),2 - Sometimes,4 - Always,2 - Sometimes,1 - Never,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often
20-35 (Young Adult),1 - Never,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,3 - Often,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,1 - Never,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,3 - Often
20-35 (Young Adult),2 - Sometimes,3 - Often,3 - Often,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often
20-35 (Young Adult),2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always
13-19 (Teenager),2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,3 - Often,2 - Sometimes,2 - Sometimes,4 - Always,4 - Always,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),4 - Always,2 - Sometimes,2 - Sometimes,4 - Always,1 - Never,3 - Often,2 - Sometimes,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,1 - Never,2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,3 - Often
36-59 (Adult),2 - Sometimes,1 - Never,2 - Sometimes,4 - Always,4 - Always,1 - Never,3 - Often,4 - Always,1 - Never,2 - Sometimes
20-35 (Young Adult),3 - Often,2 - Sometimes,1 - Never,3 - Often,2 - Sometimes,3 - Often,4 - Always,3 - Often,2 - Sometimes,3 - Often
36-59 (Adult),1 - Never,1 - Never,1 - Never,2 - Sometimes,3 - Often,2 - Sometimes,1 - Never,4 - Always,3 - Often,1 - Never
20-35 (Young Adult),3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,4 - Always,1 - Never,4 - Always
20-35 (Young Adult),2 - Sometimes,4 - Always,2 - Sometimes,4 - Always,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often
20-35 (Young Adult),1 - Never,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,3 - Often,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often
20-35 (Young Adult),2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,3 - Often
20-35 (Young Adult),3 - Often,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,4 - Always,1 - Never,3 - Often,3 - Often,4 - Always
13-19 (Teenager),2 - Sometimes,4 - Always,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes
8-12 (Children),3 - Often,2 - Sometimes,4 - Always,2 - Sometimes,4 - Always,1 - Never,1 - Never,1 - Never,3 - Often,1 - Never
20-35 (Young Adult),2 - Sometimes,3 - Often,3 - Often,3 - Often,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often
20-35 (Young Adult),1 - Never,4 - Always,4 - Always,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,2 - Sometimes,4 - Always
13-19 (Teenager),2 - Sometimes,3 - Often,4 - Always,1 - Never,2 - Sometimes,1 - Never,4 - Always,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,3 - Often,1 - Never,3 - Often,4 - Always,1 - Never,2 - Sometimes,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,1 - Never,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),3 - Often,4 - Always,2 - Sometimes,1 - Never,3 - Often,4 - Always,2 - Sometimes,4 - Always,1 - Never,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,1 - Never,3 - Often,2 - Sometimes,4 - Always
13-19 (Teenager),4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,1 - Never,2 - Sometimes,1 - Never,1 - Never
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,3 - Often,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,2 - Sometimes,1 - Never,4 - Always,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,1 - Never
20-35 (Young Adult),3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,3 - Often,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,3 - Often
20-35 (Young Adult),2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,4 - Always,2 - Sometimes,4 - Always,2 - Sometimes,3 - Often
20-35 (Young Adult),2 - Sometimes,4 - Always,2 - Sometimes,1 - Never,2 - Sometimes,1 - Never,2 - Sometimes,3 - Often,3 - Often,3 - Often
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,3 - Often,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Never,3 - Often,4 - Always
20-35 (Young Adult),3 - Often,2 - Sometimes,2 - Sometimes,1 - Never,3 - Often,2 - Sometimes,1 - Never,3 - Often,4 - Always,2 - Sometimes
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,1 - Never,2 - Sometimes,2 - Sometimes,4 - Always,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,4 - Always,3 - Often,2 - Sometimes,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes
20-35 (Young Adult),2 - Sometimes,3 - Often,3 - Often,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,2 - Sometimes,1 - Never,3 - Often,4 - Always,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,3 - Often,3 - Often,4 - Always,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often
20-35 (Young Adult),3 - Often,2 - Sometimes,1 - Never,4 - Always,2 - Sometimes,1 - Never,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),3 - Often,3 - Often,4 - Always,3 - Often,4 - Always,3 - Often,1 - Never,1 - Never,4 - Always,3 - Often
20-35 (Young Adult),3 - Often,3 - Often,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always,4 - Always,1 - Never,2 - Sometimes
13-19 (Teenager),2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,4 - Always
20-35 (Young Adult),3 - Often,2 - Sometimes,2 - Sometimes,4 - Always,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,1 - Never,3 - Often,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,3 - Often,3 - Often
20-35 (Young Adult),2 - Sometimes,3 - Often,2 - Sometimes,4 - Always,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,4 - Always,3 - Often,4 - Always,1 - Never,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes
13-19 (Teenager),2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,3 - Often,2 - Sometimes,3 - Often,3 - Often,3 - Often,3 - Often
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always,4 - Always,4 - Always
13-19 (Teenager),2 - Sometimes,1 - Never,1 - Never,1 - Never,3 - Often,1 - Never,1 - Never,1 - Never,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,4 - Always,3 - Often
20-35 (Young Adult),3 - Often,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes,4 - Always,4 - Always
8-12 (Children),1 - Never,1 - Never,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,3 - Often,4 - Always
60-100 (Senior Citizen),4 - Always,2 - Sometimes,1 - Never,1 - Never,1 - Never,2 - Sometimes,4 - Always,4 - Always,3 - Often,4 - Always
20-35 (Young Adult),3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always
36-59 (Adult),4 - Always,2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,4 - Always,3 - Often,4 - Always,3 - Often,4 - Always
36-59 (Adult),4 - Always,3 - Often,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,4 - Always,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,4 - Always,4 - Always,2 - Sometimes,1 - Never,2 - Sometimes,4 - Always,4 - Always,4 - Always
36-59 (Adult),3 - Often,2 - Sometimes,4 - Always,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always,2 - Sometimes,4 - Always
36-59 (Adult),4 - Always,3 - Often,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,4 - Always,4 - Always,4 - Always,4 - Always
20-35 (Young Adult),3 - Often,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,4 - Always,4 - Always,4 - Always,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always,4 - Always,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes
20-35 (Young Adult),1 - Never,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,4 - Always,4 - Always,1 - Never,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,3 - Often,4 - Always
20-35 (Young Adult),2 - Sometimes,3 - Often,2 - Sometimes,3 - Often,3 - Often,3 - Often,3 - Often,3 - Often,3 - Often,4 - Always
13-19 (Teenager),4 - Always,4 - Always,4 - Always,3 - Often,3 - Often,3 - Often,3 - Often,4 - Always,3 - Often,1 - Never
20-35 (Young Adult),3 - Often,1 - Never,1 - Never,4 - Always,4 - Always,4 - Always,4 - Always,2 - Sometimes,4 - Always,2 - Sometimes
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often
20-35 (Young Adult),2 - Sometimes,3 - Often,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes,4 - Always
20-35 (Young Adult),2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,1 - Never,3 - Often,1 - Never,4 - Always,2 - Sometimes,4 - Always
13-19 (Teenager),2 - Sometimes,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
8-12 (Children),2 - Sometimes,4 - Always,4 - Always,1 - Never,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,1 - Never
8-12 (Children),1 - Never,3 - Often,3 - Often,4 - Always,4 - Always,2 - Sometimes,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes
8-12 (Children),1 - Never,4 - Always,4 - Always,2 - Sometimes,2 - Sometimes,1 - Never,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes
8-12 (Children),2 - Sometimes,4 - Always,3 - Often,1 - Never,1 - Never,1 - Never,1 - Never,2 - Sometimes,1 - Never,1 - Never
8-12 (Children),4 - Always,2 - Sometimes,1 - Never,2 - Sometimes,4 - Always,4 - Always,2 - Sometimes,3 - Often,3 - Often,2 - Sometimes
8-12 (Children),1 - Never,4 - Always,4 - Always,3 - Often,3 - Often,1 - Never,1 - Never,1 - Never,2 - Sometimes,1 - Never
8-12 (Children),1 - Never,4 - Always,2 - Sometimes,1 - Never,1 - Never,1 - Never,1 - Never,2 - Sometimes,2 - Sometimes,1 - Never
8-12 (Children),3 - Often,2 - Sometimes,2 - Sometimes,2 - Sometimes,2 - Sometimes,3 - Often,2 - Sometimes,2 - Sometimes,3 - Often,3 - Often
